title,year,rating,poster,media_type,country,note
The Lion King,1994,8.5,https://m.media-amazon.com/images/M/MV5BZGRiZDZhZjItM2M3ZC00Y2IyLTk3Y2MtMWY5YjliNDFkZTJlXkEyXkFqcGc@._V1_SX300.jpg,movie,United States,
Frozen,2013,7.4,https://m.media-amazon.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_SX300.jpg,movie,United States,
Robin Hood,2010,6.6,https://m.media-amazon.com/images/M/MV5BMTM5NzcwMzEwOF5BMl5BanBnXkFtZTcwNjg5MTgwMw@@._V1_SX300.jpg,movie,"United States, United Kingdom",
Magnolia,1999,8.0,https://m.media-amazon.com/images/M/MV5BOWY0Zjk1YTMtMGFlYi00OTFmLWEyOTAtNmRkYjE0ZDJiZWMwXkEyXkFqcGc@._V1_SX300.jpg,movie,United States,
Finding Nemo,2003,8.2,https://m.media-amazon.com/images/M/MV5BMTc5NjExNTA5OV5BMl5BanBnXkFtZTYwMTQ0ODY2._V1_SX300.jpg,movie,"United States, Japan",
Terminator 2: Judgment Day,1991,8.6,https://m.media-amazon.com/images/M/MV5BNGMyMGNkMDUtMjc2Ni00NWFlLTgyODEtZTY2MzBiZTg0OWZiXkEyXkFqcGc@._V1_SX300.jpg,movie,"United States, France",
"I, Robot",2004,7.1,https://m.media-amazon.com/images/M/MV5BZDdhNTY3YTgtYmQwMC00MjM1LTgzYzMtMGM1N2E0NWM1NDlkXkEyXkFqcGc@._V1_SX300.jpg,movie,"United States, Germany",Favourite movie!
A Fish Called Wanda,1988,7.5,https://m.media-amazon.com/images/M/MV5BNjFhZDg1ZmEtYmI0Ny00MjM3LWIxNzItMzU1MzczZTljMTkxXkEyXkFqcGc@._V1_SX300.jpg,movie,"United Kingdom, United States",
Pineapple Express,2008,6.9,https://m.media-amazon.com/images/M/MV5BMTY1MTE4NzAwM15BMl5BanBnXkFtZTcwNzg3Mjg2MQ@@._V1_SX300.jpg,movie,United States,
Q,2023,7.4,https://m.media-amazon.com/images/M/MV5BNDVmNjQwY2YtYzJlYS00ODllLTg2MDAtMmQ3NzMyYTdiYjIxXkEyXkFqcGc@._V1_SX300.jpg,movie,"Lebanon, United States",
The Little Mermaid,1989,7.6,https://m.media-amazon.com/images/M/MV5BNmQ3ODcyZGMtMjNlOS00YzhlLTg0YzAtZGVjNmQ0OTYyNDg0XkEyXkFqcGc@._V1_SX300.jpg,movie,United States,
Little Mermaid,2016,4.1,https://m.media-amazon.com/images/M/MV5BNjQ0NTg0MzY5NF5BMl5BanBnXkFtZTgwOTgxOTU2NzE@._V1_SX300.jpg,movie,United States,
Deti 90-kh,2015,N/A,https://m.media-amazon.com/images/M/MV5BNDc3MjU2NDEtN2Q0OC00NTM4LTkwNzctZTI2NTk3ZDQ5OWUxXkEyXkFqcGdeQXVyOTM5NjQ0Mjg@._V1_SX300.jpg,movie,Russia,
Free Willy,1993,6.0,https://m.media-amazon.com/images/M/MV5BNjY4NDJhOTMtZmVjMC00Njk5LThjOWItMjg4NDcxMmNkODM3XkEyXkFqcGc@._V1_SX300.jpg,movie,"France, United States",
The Ultimate 'WALL-E' Recap Cartoon,2022,N/A,https://m.media-amazon.com/images/M/MV5BMTY5Yjc1YzUtMjkxMS00YTY3LThkOTAtZGI0ODFlN2Y3OGJjXkEyXkFqcGc@._V1_SX300.jpg,movie,Netherlands,
The Matrix Reloaded,2003,7.2,https://m.media-amazon.com/images/M/MV5BNjAxYjkxNjktYTU0YS00NjFhLWIyMDEtMzEzMTJjMzRkMzQ1XkEyXkFqcGc@._V1_SX300.jpg,movie,United States,
Tenet,2020,7.3,https://m.media-amazon.com/images/M/MV5BMTU0ZjZlYTUtYzIwMC00ZmQzLWEwZTAtZWFhMWIwYjMxY2I3XkEyXkFqcGc@._V1_SX300.jpg,movie,"United States, United Kingdom",
Oppenheimer,2023,8.3,https://m.media-amazon.com/images/M/MV5BN2JkMDc5MGQtZjg3YS00NmFiLWIyZmQtZTJmNTM5MjVmYTQ4XkEyXkFqcGc@._V1_SX300.jpg,movie,"United States, United Kingdom",Need to watch
